PARAMETER	Apelsvoll winter  91/92 Gri	Fureneset winter  05/06 Gri	Holt  winter  05/06 Gri	Holt  winter  06/07 Gri	Kvithamar winter  06/07 Gri	Saerheim summer 00 Gri	Saerheim summer 01 Gri	Saerheim summer 02 Gri	Saerheim winter  05/20 Gri	Saerheim winter  06/07 Gri	Maaninka	Rovaniemi	Searheim TIMCOM	Quebec	Lacombe	Umea	Fredricton	Kungsangen	Lanna	Karlslund	Klevarp	Tonnersa
LAT	60.77	61.29	69.65	69.65	63.5	58.46	58.46	58.46	58.46	58.46	63.14	66.58	58.46	46.79	52.47	63.77	45.93	59.8	58.5	59.4	57.7	56.5
WCI	0.22	0.3	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.15	0.15	0.3	0.194	0.3	0.46	0.225	0.43	0.36	0.36	0.26	0.26
FWCAD	0.047826087	0.011363636	0.019607843	0.019607843	0.019607843	0.011363636	0.011363636	0.011363636	0.011363636	0.011363636	0.0125	0.0125	0.011363636	0.0125	0.009090909	0.009259259	0.0125	0.0125	0.0125	0.0125	0.0125	0.0125
FWCWP	0.141304348	0.056818182	0.058823529	0.058823529	0.058823529	0.056818182	0.056818182	0.056818182	0.056818182	0.056818182	0.07741	0.07741	0.07741	0.07741	0.07741	0.07741	0.07741	0.573	0.425	0.425	0.21	0.21
FWCFC	0.47826087	0.681818182	0.784313725	0.784313725	0.784313725	0.681818182	0.681818182	0.681818182	0.681818182	0.681818182	0.6498	0.6498	0.6498	0.6498	0.6498	0.6498	0.6498	0.905	0.776	0.776	0.574	0.574
FWCWET	0.934782609	1	0.960784314	0.960784314	0.960784314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WCST	0.46	0.44	0.51	0.51	0.51	0.44	0.44	0.44	0.44	0.44	0.4	0.4	0.44	0.4	0.55	0.54	0.4	0.475	0.464	0.464	0.453	0.453
WpoolMax	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
Dparam	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895	0.001895
FGAS	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175
FO2MX	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008	0.2008
gamma	65	65	65	65	65	65	65	65	65	65	68.86	68.86	68.86	68.86	68.86	68.86	68.86	68.86	68.86	68.86	68.86	68.86
Hparam	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262	0.008262
KRDRANAER	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396	0.6396
KRESPHARD	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244	0.02244
KRSR3H	1	1	1	1	1	1	1	1	1	1	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618	0.9618
KRTOTAER	2	2	2	2	2	2	2	2	2	2	1.775	1.775	1.775	1.775	1.775	1.775	1.775	1.775	1.775	1.775	1.775	1.775
KSNOW	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871
